Date,Open,High,Low,Close,Volume,OpenInt,Stock,Rate
1/3/2001,16.241,18.388,16.226,18.038,180704738,0,MSFT,10.53373368
1/4/2001,17.986,19.002,17.637,18.224,149384666,0,MSFT,1.031156447
1/5/2001,18.247,18.759,17.896,18.483,124155532,0,MSFT,1.421202809
1/8/2001,18.406,18.716,17.558,18.406,106084024,0,MSFT,-0.416599037
1/9/2001,18.81,19.8,18.716,19.491,152798276,0,MSFT,5.894816908
1/10/2001,19.187,20.243,19.095,19.89,119923205,0,MSFT,2.047098661
1/11/2001,19.941,20.972,19.681,20.687,135373231,0,MSFT,4.007038713
1/12/2001,20.646,20.687,19.749,20.126,97969187,0,MSFT,-2.71184802
1/16/2001,20.076,20.126,19.237,19.775,90992048,0,MSFT,-1.74401272
1/17/2001,20.177,20.646,19.775,19.917,96815805,0,MSFT,0.718078382
1/18/2001,20.201,21.139,19.8,20.882,145918159,0,MSFT,4.845107195
1/19/2001,22.576,23.112,22.147,22.952,278241417,0,MSFT,9.912843597
1/22/2001,22.851,22.952,22.198,22.617,101904596,0,MSFT,-1.459567794
1/23/2001,22.475,22.926,22.171,22.784,93427984,0,MSFT,0.738382633
1/24/2001,22.952,23.866,22.851,23.673,146803587,0,MSFT,3.901860955
1/25/2001,23.606,24.074,23.162,23.255,113845582,0,MSFT,-1.765724665
1/26/2001,22.952,24.194,22.952,24.074,123710815,0,MSFT,3.521823264
1/29/2001,23.917,24.311,23.893,24.268,112950314,0,MSFT,0.805848633
1/30/2001,24.268,24.361,23.656,23.841,76125485,0,MSFT,-1.759518708
1/31/2001,23.698,23.983,22.952,22.969,108850112,0,MSFT,-3.657564699
2/1/2001,22.878,23.555,22.718,23.463,95418416,0,MSFT,2.15072489
2/2/2001,23.515,23.841,22.851,22.878,94497632,0,MSFT,-2.493287303
2/5/2001,22.851,23.347,22.666,23.304,68313676,0,MSFT,1.862050879
2/6/2001,23.347,24.009,23.204,23.539,128179186,0,MSFT,1.008410573
2/7/2001,23.321,24.48,23.255,24.336,167546286,0,MSFT,3.385870258
2/8/2001,23.983,24.268,23.321,23.42,117013848,0,MSFT,-3.763971072
2/9/2001,23.069,23.162,22.005,22.239,133672536,0,MSFT,-5.042698548
2/12/2001,22.122,22.355,21.518,22.105,94749355,0,MSFT,-0.602545078
2/13/2001,22.432,22.969,21.868,21.886,101103957,0,MSFT,-0.99072608
2/14/2001,21.678,22.198,21.208,21.962,82042017,0,MSFT,0.347253952
2/15/2001,22.198,22.64,21.771,22.122,87224636,0,MSFT,0.728531099
2/16/2001,21.442,21.913,21.116,21.56,88993108,0,MSFT,-2.540457463
2/20/2001,21.584,21.913,20.829,21.024,80716921,0,MSFT,-2.486085343
2/21/2001,20.789,21.846,20.761,21.157,84650998,0,MSFT,0.63261035
2/22/2001,21.182,21.376,20.268,20.761,133875090,0,MSFT,-1.871720943
2/23/2001,20.477,21.635,20.437,21.35,123064089,0,MSFT,2.837050238
2/26/2001,21.678,22.55,21.584,22.408,116865523,0,MSFT,4.955503513
2/27/2001,22.34,23.018,22.079,22.34,131755214,0,MSFT,-0.303463049
2/28/2001,22.408,22.601,21.886,22.198,110393164,0,MSFT,-0.635631155
3/1/2001,22.029,22.381,21.157,22.34,107909120,0,MSFT,0.63969727
3/2/2001,21.635,21.868,21.233,21.323,105375361,0,MSFT,-4.552372426
3/5/2001,21.537,22.055,21.275,21.61,65605011,0,MSFT,1.345964452
3/6/2001,22.055,22.576,21.962,22.355,88734473,0,MSFT,3.447478019
3/7/2001,22.523,22.926,22.198,22.834,79091458,0,MSFT,2.142697383
3/8/2001,22.692,22.809,21.987,22.29,71892357,0,MSFT,-2.382412192
3/9/2001,21.794,21.886,20.646,21.323,137913641,0,MSFT,-4.338268282
3/12/2001,20.57,20.687,19.421,19.538,151797212,0,MSFT,-8.37124232
3/13/2001,19.633,20.597,19.564,20.41,120918954,0,MSFT,4.463097553
3/14/2001,19.749,20.761,19.633,20.318,120523421,0,MSFT,-0.450759432
3/15/2001,20.804,21.09,20.201,20.201,94641438,0,MSFT,-0.575844079
3/16/2001,19.749,20.739,19.749,20.529,148945275,0,MSFT,1.623681996
3/19/2001,20.503,20.882,19.983,20.437,81112190,0,MSFT,-0.448146524
3/20/2001,20.529,21.116,19.823,19.823,122043613,0,MSFT,-3.004354847
3/21/2001,19.658,20.033,18.716,18.835,166204974,0,MSFT,-4.984109368
3/22/2001,19.019,20.335,19.002,20.318,167958829,0,MSFT,7.873639501
3/23/2001,20.671,21.442,20.453,21.275,132263992,0,MSFT,4.710109263
3/26/2001,21.492,21.635,20.906,21.09,83889968,0,MSFT,-0.869565217
3/27/2001,21.09,22.029,21.024,21.913,126453244,0,MSFT,3.902323376
3/28/2001,21.584,21.794,20.856,20.906,104233946,0,MSFT,-4.595445626
3/29/2001,20.829,21.518,20.529,20.829,115611133,0,MSFT,-0.368315316
3/30/2001,20.972,21.139,20.268,20.57,121403805,0,MSFT,-1.243458639
4/2/2001,20.62,21.418,20.554,20.998,100869773,0,MSFT,2.080700049
4/3/2001,20.804,20.906,19.839,20.076,124484339,0,MSFT,-4.390894371
4/4/2001,20.076,20.687,19.213,19.538,137560101,0,MSFT,-2.679816697
4/5/2001,20.218,21.584,20.126,21.35,150403542,0,MSFT,9.274234824
4/6/2001,21.208,21.518,20.714,21.139,123101566,0,MSFT,-0.988290398
4/9/2001,21.275,21.61,20.947,21.492,74812086,0,MSFT,1.669899238
4/10/2001,21.794,22.601,21.754,22.458,145114868,0,MSFT,4.494695701
4/11/2001,22.809,23.136,22.458,22.601,146023156,0,MSFT,0.636744145
4/12/2001,22.408,23.437,22.34,23.398,116305977,0,MSFT,3.526392637
4/16/2001,23.086,23.162,22.617,22.878,87511451,0,MSFT,-2.222412172
4/17/2001,22.617,23.371,22.601,23.136,113092001,0,MSFT,1.127720955
4/18/2001,23.841,24.948,23.698,24.622,208193557,0,MSFT,6.422890733
4/19/2001,24.755,25.954,24.737,25.602,208682918,0,MSFT,3.980180327
4/20/2001,26.449,26.758,25.771,25.954,255814790,0,MSFT,1.374892587
4/23/2001,25.625,25.771,25.158,25.678,122492852,0,MSFT,-1.063419897
4/24/2001,25.65,26.314,25.249,25.418,118208690,0,MSFT,-1.012539917
4/25/2001,25.418,26.266,25.301,26.213,101807837,0,MSFT,3.127704776
4/26/2001,26.358,26.708,25.678,26.006,157176798,0,MSFT,-0.789684508
4/27/2001,26.148,26.213,24.898,25.249,169240061,0,MSFT,-2.910866723
4/30/2001,25.771,25.979,25.467,25.484,98841324,0,MSFT,0.93072993
5/1/2001,25.467,26.449,25.442,26.407,111275139,0,MSFT,3.621880396
5/2/2001,26.708,26.758,26.097,26.24,123424263,0,MSFT,-0.632408074
5/3/2001,26.054,26.407,25.625,25.771,88082955,0,MSFT,-1.787347561
5/4/2001,25.586,26.735,25.561,26.616,158900618,0,MSFT,3.278879361
5/7/2001,26.643,27.137,26.591,26.85,145333894,0,MSFT,0.879170424
5/8/2001,26.994,27.137,26.616,27.112,99772748,0,MSFT,0.975791434
5/9/2001,26.802,26.826,26.291,26.473,101216664,0,MSFT,-2.356889938
5/10/2001,26.758,26.802,26.314,26.331,85198058,0,MSFT,-0.536395573
5/11/2001,26.314,26.331,25.82,26.097,67953233,0,MSFT,-0.888686339
5/14/2001,26.006,26.028,25.703,25.862,59780445,0,MSFT,-0.900486646
5/15/2001,25.862,26.071,25.586,25.678,81586676,0,MSFT,-0.711468564
5/16/2001,25.467,26.291,25.325,26.028,121659252,0,MSFT,1.363034504
5/17/2001,26.006,26.381,25.418,25.65,141635062,0,MSFT,-1.452282158
5/18/2001,25.467,26.028,25.301,25.602,120212676,0,MSFT,-0.187134503
5/21/2001,25.602,26.331,25.484,25.886,136325116,0,MSFT,1.109288337
5/22/2001,26.122,26.473,26.006,26.431,109549728,0,MSFT,2.10538515
5/23/2001,26.473,26.944,26.122,26.213,121334160,0,MSFT,-0.824789073
5/24/2001,26.314,26.994,26.054,26.994,104903533,0,MSFT,2.979437684
5/25/2001,26.969,27.036,26.473,26.684,66896077,0,MSFT,-1.148403349
5/29/2001,26.643,26.994,26.358,26.449,94647017,0,MSFT,-0.88067756
5/30/2001,26.172,26.551,25.82,26.028,113120977,0,MSFT,-1.591742599
5/31/2001,26.148,26.473,25.72,26.028,92353817,0,MSFT,0
6/1/2001,26.187,26.591,25.837,26.449,76206555,0,MSFT,1.617488858
6/4/2001,26.551,26.708,26.266,26.616,57675982,0,MSFT,0.631403834
6/5/2001,26.616,27.49,26.524,27.321,118856754,0,MSFT,2.648782687
6/6/2001,27.413,27.649,26.919,27.228,106060365,0,MSFT,-0.340397496
6/7/2001,27.137,27.746,27.112,27.697,87507734,0,MSFT,1.722491553
